id,doi,title,year,authors,journal,abstract,provenance_databases,provenance_techniques,provenance_count,decision,decision_reason,screener,decision_date,calibration_set
pmid:41632096,10.1097/ANS.0000000000000629,"Reciprocal Adaptation in Postpartum Fathers: A Mid-Range Theory of Role Negotiation, Relational Reciprocity, and Family Adjustment.",2026,Schmitz RE,ANS. Advances in nursing science,,pubmed,reciprocity,1,,,marion,,1
arxiv:2512.09892v1,,Provably Learning from Modern Language Models via Low Logit Rank,2025,"Noah Golowich, Allen Liu, Abhishek Shetty",arXiv,"While modern language models and their inner workings are incredibly complex, recent work (Golowich, Liu &amp; Shetty; 2025) has proposed a simple and potentially tractable abstraction for them through the observation that empirically, these language models all seem to have approximately low logit rank. Roughly, this means that a matrix formed by the model's log probabilities of various tokens conditioned on certain sequences of tokens is well approximated by a low rank matrix. In this paper, our focus is on understanding how this structure can be exploited algorithmically for obtaining provable learning guarantees. Since low logit rank models can encode hard-to-learn distributions such as noisy parities, we study a query learning model with logit queries that reflects the access model for common APIs. Our main result is an efficient algorithm for learning any approximately low logit rank model from queries. We emphasize that our structural assumption closely reflects the behavior that is empirically observed in modern language models. Thus, our result gives what we believe is the first end-to-end learning guarantee for a generative model that plausibly captures modern language models.",arxiv,assumptive,1,,,marion,,1
arxiv:2511.06195v1,,"AI as intermediary in modern-day ritual: An immersive, interactive production of the roller disco musical Xanadu at UCLA",2025,"Mira Winick, Naisha Agarwal, Chiheb Boussema, Ingrid Lee, Camilo Vargas, Jeff Burke",arXiv,"Interfaces for contemporary large language, generative media, and perception AI models are often engineered for single user interaction. We investigate ritual as a design scaffold for developing collaborative, multi-user human-AI engagement. We consider the specific case of an immersive staging of the musical Xanadu performed at UCLA in Spring 2025. During a two-week run, over five hundred audience members contributed sketches and jazzercise moves that vision language models translated to virtual scenery elements and from choreographic prompts. This paper discusses four facets of interaction-as-ritual within the show: audience input as offerings that AI transforms into components of the ritual; performers as ritual guides, demonstrating how to interact with technology and sorting audience members into cohorts; AI systems as instruments ""played"" by the humans, in which sensing, generative components, and stagecraft create systems that can be mastered over time; and reciprocity of interaction, in which the show's AI machinery guides human behavior as well as being guided by humans, completing a human-AI feedback loop that visibly reshapes the virtual world. Ritual served as a frame for integrating linear narrative, character identity, music and interaction. The production explored how AI systems can support group creativity and play, addressing a critical gap in prevailing single user AI design paradigms.",arxiv,reciprocity,1,,,marion,,1
nct:NCT07036744,,When The Mirror Is Wrong: A Multi-Method Efficacy Study Of An Acceptance And Compassion-Based Group Intervention For Body Dysmorphia,2025,,ClinicalTrials.gov,"Body Dysmorphic Disorder (BDD) is a severe psychiatric condition characterized by persistent and intrusive preoccupations with perceived flaws in physical appearance, which are typically unnoticeable or appear minor to others. BDD is associated with significant psychological distress, functional impairment, and reduced quality of life. Despite its prevalence and clinical severity, BDD remains frequently underdiagnosed and misdiagnosed. While Cognitive Behavioural Therapy (CBT) and Selective Serotonin Reuptake Inhibitors (SSRIs) are currently considered standard treatments, emerging evidence suggests that third-wave psychotherapies, such as Acceptance and Commitment Therapy (ACT) and Compassion-Focused Interventions, may offer additional benefits.

This project aims to advance clinical care and scientific understanding of BDD by developing, implementing, and evaluating the preliminary efficacy of MIND-over-MIRROR-a novel group-based psychological intervention integrating ACT and compassion-based strategies for individuals exhibiting high levels of BDD symptomatology. The intervention consists of eight weekly sessions and one follow-up booster session, delivered in an online or hybrid format. A randomized feasibility study will be conducted to examine the intervention's acceptability, practicality, and preliminary clinical efficacy in adults aged 18 to 65 years. A multi-method assessment framework will be employed, with self-report measures collected at baseline, post-intervention, and 3-month follow-up. Additionally, participants from experimental and control groups will report on their weekly BDD symptomatology.

Participants in the intervention group who consent will also undergo computerized behavioural tasks and functional neuroimaging using functional near-infrared spectroscopy (fNIRS) to explore neural and cognitive correlates of treatment outcomes. Improvements are expected in core clinical outcomes, including BDD symptom severity, and it is hypothesized that changes in targeted psychological processes (e.g., self-compassion) will mediate these effects. This study will contribute novel and clinically relevant data regarding the feasibility and potential effectiveness of contextual behavioural therapies for BDD, with implications for both research and practice.",clinicaltrials,commitment-consistency,1,,,marion,,1
nct:NCT07045051,,Effects of Fresh Mango as a Sugar Substitute Within High and Low Glycemic Breakfasts on Postprandial Glucose and Insulin,2025,,ClinicalTrials.gov,"Large blood sugar and insulin increases after meals high in table sugar are related to risk for diabetes and heart disease. Additionally, large increases in blood sugar may also negatively impact vascular health. Previous research suggests that mango consumed in small quantities has blood sugar-lowering properties, but the evidence of this within larger, more realistic meals is limited. The investigators want to understand if replacing table sugar (sucrose) with sugar from fresh mango (which also contains fiber and plant bioactives) will lead to more favorable blood sugar, insulin, and vascular responses after eating breakfast meals. The investigators will compare the postprandial glycemic, insulinemic, and vascular response to low and high glycemic meals sweetened with either fresh mango or sucrose.",clinicaltrials,lowball,1,,,marion,,1
nct:NCT06936111,,Effect of Residual Lipid and Inflammation Risk on Atherosclerotic Plaque Progression Under Intensive Lipid-lowering Therapy in Coronary Heart Disease,2025,,ClinicalTrials.gov,"Intensive lipid-lowering therapy is a cornerstone treatment for coronary heart disease (CHD). However, coronary plaque progression persists in a subset of patients even under intensive lipid-lowering therapy, which may be associated with residual lipid and inflammatory risks. Current research in this area remains largely confined to post hoc analyses of randomized controlled trials , with a notable scarcity of prospective follow-up cohorts. The investigators propose that establishing a prospective cohort will provide more authentic insights into the associations between residual risk factors and plaque progression. In this project, the investigators aim to establish a well-characterized CHD cohort with comprehensive data collection, good compliance, and an appropriate sample size. By focusing on non-target lesions within the target vessel and utilizing intravascular ultrasound (IVUS), the investigators will investigate the impact of residual lipid and inflammatory risks on plaque progression during intensive lipid-lowering therapy.",clinicaltrials,scarcity,1,,,marion,,1
doi:10.1093/9780197786567.003.0004,10.1093/9780197786567.003.0004,Defusing Arguments in Favour of Conscientious Objection,2025,"Alberto Giubilini, Udo Schuklenk, Francesca Minerva, Julian Savulescu",Rethinking Conscientious Objection in Health Care,"Abstract
               Chapter 3 examines the main arguments put forward in the literature and public discourse for a right to conscientious objection, arguing that they do not succeed. These include arguments from reasonability, compromise, human rights, toleration, diversity, integrity, and equality of opportunity. For each of them the chapter not only highlights their strength in supporting a right of freedom of conscience in society at large but also shows their limitations in supporting the same right within a specific professional context like health care. The focus in particular is on the reasonability-based argument as it appears to be the one offering the most philosophically robust defence of a fettered right to conscientious objection, but ultimately this argument is rejected.",crossref,isolate-and-conquer,1,,,marion,,1
doi:10.5220/0014151200004942,10.5220/0014151200004942,Relation Between Loss Aversion and Human Behavior,2025,Mengyadi Liang,Proceedings of the 2nd International Conference on Applied Psychology and Marketing Management,,crossref,loss-framing,1,,,marion,,1
doi:10.1002/1878-0261.70192/v3/review1,10.1002/1878-0261.70192/v3/review1,"Review for ""Crucial parameters for precise copy number variation detection in formalin-fixed paraffin-embedded solid cancer samples""",2025,,,,crossref,precise-anchor,1,,,marion,,1
nct:NCT06269146,,Targeting Dopamine-Mediated Social Reward Sensitivity to Remediate Social Disconnection,2024,,ClinicalTrials.gov,"This study seeks to understand if the medication pramipexole improves social connectedness and functioning in adults (ages 18-50) who experience anxiety or depression. The study plans to enroll 108 participants total across two sites (University of California San Diego and New York State Psychiatric Institute). Pramipexole will be given in a 6-week randomized, double-blind, placebo-controlled trial. Social reward processing will be assessed using measures of brain function (fMRI), behavior, and self-report at baseline and week 6. Knowledge gained from this study will help determine the therapeutic potential of targeting the dopamine system to remediate social disconnection as an anxiety and depression intervention.",clinicaltrials,extreme-anchor,1,,,marion,,1
nct:NCT06567145,,Assessing the Effectiveness and Feasibility of Group-based Treatment for Self-stigma in People With Mental Disorders: a Pragmatic Multisite Randomized Controlled Trial in Routine Mental Health Services in North-east Italy,2024,,ClinicalTrials.gov,"Self-stigma refers to the internalization of negative stereotypes by individuals with mental disorders, leading to beliefs that they are dangerous, aggressive, or incapable of working. This phenomenon has harmful effects on various aspects of life, such as adherence to treatment, self-esteem, quality of life, and can increase feelings of despair and suicide risk. To address these issues, the Narrative Enhancement and Cognitive Therapy (NECT) was developed. NECT is a group-based intervention consisting of 20 sessions designed to reduce self-stigma in individuals with mental disorders.

This study aims to evaluate the efficacy and feasibility of NECT in 416 patients from 26 mental health centers in Northeast Italy. It is structured as a pragmatic, multicenter, randomized controlled trial with two parallel arms. The study will assess the impact of NECT on several psychological dimensions, including levels of self-stigma, self-esteem, hope, empowerment, perception of recovery, mental well-being, and stigma-related stress. The findings of this research are expected to contribute to the understanding of effective treatments for patients with mental disorders, particularly those burdened by high levels of self-stigma, and to improve their recovery outcomes.",clinicaltrials,trial-close,1,,,marion,,1
doi:10.2307/jj.23338166.6,10.2307/jj.23338166.6,Summary,2024,,Close to the Edge: Excavations of Five Cornish Coastal Barrows,,crossref,summary-close,1,,,marion,,1
arxiv:2303.13683v1,,OFA$^2$: A Multi-Objective Perspective for the Once-for-All Neural Architecture Search,2023,"Rafael C. Ito, Fernando J. Von Zuben",arXiv,"Once-for-All (OFA) is a Neural Architecture Search (NAS) framework designed to address the problem of searching efficient architectures for devices with different resources constraints by decoupling the training and the searching stages. The computationally expensive process of training the OFA neural network is done only once, and then it is possible to perform multiple searches for subnetworks extracted from this trained network according to each deployment scenario. In this work we aim to give one step further in the search for efficiency by explicitly conceiving the search stage as a multi-objective optimization problem. A Pareto frontier is then populated with efficient, and already trained, neural architectures exhibiting distinct trade-offs among the conflicting objectives. This could be achieved by using any multi-objective evolutionary algorithm during the search stage, such as NSGA-II and SMS-EMOA. In other words, the neural network is trained once, the searching for subnetworks considering different hardware constraints is also done one single time, and then the user can choose a suitable neural network according to each deployment scenario. The conjugation of OFA and an explicit algorithm for multi-objective optimization opens the possibility of a posteriori decision-making in NAS, after sampling efficient subnetworks which are a very good approximation of the Pareto frontier, given that those subnetworks are already trained and ready to use. The source code and the final search algorithm will be released at https://github.com/ito-rafael/once-for-all-2",arxiv,tna,1,,,marion,,1
