id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2223289735,10.1177/2051570715604155,2015,Malicious practice of fake reviews: Experimental insight into the potential of contextual indicators in assisting consumers to detect deceptive opinion spam,Andréas Munzel,Recherche et Applications en Marketing (English Edition),"Consumers often rely on experiences from other individuals shared online when making purchase decisions; however, the trustworthiness of consumers’ online opinions is jeopardized by fake reviews. Three experimental studies were conducted that included different potential detection support mechanisms to identify fake reviews. The results show that a self-protection prime and two of the three tested detection support mechanisms affect the source’s trustworthiness. This research contributes to the field of online interactions by highlighting the potential of contextual – instead of textual – indicators, such as third-party labels and social proof, which assist Internet users in their efforts to detect fake reviews.",social-proof,1,include,"Recherche Applications Marketing 2015 three experimental studies on fake-review detection × consumer trust; eligible (experimental, social-proof, consumer-decision outcome).",llm-claude-opus-4-7
openalex:W2331163859,10.15195/v3.a12,2016,Why is the Pack Persuasive? The Effect of Choice Status on Perceptions of Quality,"Freda B. Lynn, Brent Simpson, Mark Walker, Colin Peterson",Sociological Science,"The logic of social proof and related arguments posits that decision makers interpret an actor's sociometric position (such as popularity) as a signal for quality, especially when quality itself is difficult to ascertain. Although prior work shows that market-level behavioral patterns are consistent with this micro-level account, we seek to explicitly examine the extent to which (and the conditions under which) sociometric status information actually triggers assumptions about an actor's underlying quality. We introduce two new web-based experiments to investigate how popularity impacts the selection of teammates. We find that the presence of popularity information creates a surprisingly robust quality halo around candidates in some situations but has no effect at all in others. Namely, consistent with Strang and Macy's (2001) theory of adaptive emulation, choice status appears to affect quality perceptions as part of the rationalization for making attachments, but the halo disappears post-adoption. The implications of these results are discussed in the conclusion.",social-proof,1,include,"Sociological Science 2016 on choice-status (popularity) × perceived quality; eligible (social-proof mechanism, consumer-decision relevance).",llm-claude-opus-4-7
openalex:W2588298129,10.1051/shsconf/20173402005,2017,Social proof in social media shopping: An experimental design research,"Yurita Yakimin Abdul Talib, Rafeah Mat Saat",SHS Web of Conferences,"The practices of social proof techniques to attract consumers to shop on social media have proliferated over time and been used extensively. The reviewed literature uncovers that social community recommendation, customers' ratings and reviews, celebrity's endorser and numbers of likes, affect consumers' purchasing decisions. However, the effect of different types of social proof techniques on purchasing intention is unknown. This study empirically compares the effect of number of followers, celebrity endorser and social community recommendation on consumers' purchasing intention. An experiment has been conducted and the results reveal that the consumers' purchasing intention differs between groups. Further analysis discovers that the impact on consumers' purchasing intention is different between high number of followers and low number of followers, and between having social community recommendation and not having social community recommendation. Though, the impact of these two techniques is equal wherein no technique is superior to other. In order to gain purchasing engagement and boost online sales, online businesses on social media are encouraged to use the power of social proof technique, either by increasing the number of followers or providing more social community recommendations.",social-proof,1,include,SHS Web of Conferences 2017 experimental study on different social-proof techniques × purchasing intent; eligible.,llm-claude-opus-4-7
openalex:W2604026946,,2017,Does social proof and scarcity work for opera lovers? A study into the effectiveness of online persuasion cues on consumer responses within the online ticketing store,T.H.T. Keizer,,"Online shopping is very popular nowadays. By making use of Cialdini’s principles of persuasion, many companies try to persuade consumers to buy their products or services on their website. Despite the frequent usage of the principles of persuasion, little is known within the academic literature about the online effectiveness of these principles on consumer responses. The goal of this study is to investigate whether social proof and scarcity heuristics have an influence on consumer responses within the online ticketing store. Stimulus material of the ticketing website of Dutch National Opera, in which different persuasion messages were implemented, was created. In a 2 (social proof vs. no social proof message) x 2 (scarcity vs. no scarcity message) x 2 (orange vs. green text) between subject experimental research design consumers’ time pressure, product value, and purchase intention were measured with an online questionnaire. In total, 268 Dutch visitors, with a high educational level and who regularly visit opera performances, of Dutch National Opera participated in this study. The results demonstrated a positive effect of scarcity on the level of time pressure. However, a negative effect of scarcity on the level of purchase intention was found. In addition, effects of interaction between color and scarcity on time pressure and of color and social proof on purchase intention were found. Based on the literature, it was expected that persuasion knowledge and uncertainty avoidance had a moderating effect. This was only the case for uncertainty avoidance, meaning that high uncertainty avoidance resulted in a higher level of time pressure after exposure to the social proof and scarcity message, while for low uncertainty avoidance, only the scarcity message increased the level of time pressure. To conclude, persuading people with the principles of persuasion should be used with caution, because it can backfire, and especially scarcity can have a negative effect on the purchase intention. However, this effect was only visible for this specific target group of highly educated and senior aged opera visitors. Therefore, more research is needed to test the online effectiveness of the principles of persuasion in different areas and for more product and service categories. The findings of this study can help marketers to understand the online effectiveness of the principles of persuasion on consumers’ behavior and can be used in the development and testing of online marketing communication strategies.",social-proof,1,include,"2017 study on social proof + scarcity for opera ticket purchase responses; eligible (experimental, two persuasion mechanisms, ticket-purchase outcome).",llm-claude-opus-4-7
openalex:W2742083535,10.1007/s12208-017-0187-x,2017,How proof of previous donations influences compliance with a donation request: three field experiments,"Céline Jacob, Nicolas Guéguen, Gaëlle Boulbry",International Review on Public and Nonprofit Marketing,,social-proof,1,include,"Int Review on Public and Nonprofit Marketing 2017 three field experiments on social-proof × donation compliance; eligible (field experiments, social-proof, donation outcome).",llm-claude-opus-4-7
openalex:W2749228840,10.1080/0267257x.2017.1364285,2017,"Deterring deviant consumer behaviour: when ‘it’s wrong, don’t do it’ doesn’t work","Paula Dootson, Ian Lings, Amanda Beatson, Kim A. Johnston",Journal of Marketing Management,"Tactics to deter deviant consumer behaviour have received limited attention in the literature despite deviance being an ongoing problem in the marketplace. Across two studies, the findings suggest there is a heterogeneous response to the rules placed on consumers’ behaviour, which manifests from an absence of consensus among consumers on what is right and wrong behaviour undermining the it’s wrong, don’t do it approach to deterrence. Further, risk perceptions of being caught and punished are low, if not absent, undermining the you will be caught and punished approach to deterrence. Alternate underlying mechanisms were tested and found to influence deviant consumer behaviour (perceived prevalence, perceived outcomes and moral identity), which could underpin alternate deterrence tactics, including social proofing, moral triggers and humanising the victim.",social-proof,1,include,J Marketing Management 2017 — duplicate of i=6 (deterring deviant consumer behavior); flag at dedup-extraction.,llm-claude-opus-4-7
openalex:W2768187963,10.1016/j.giq.2017.11.006,2017,Embedding persuasive features into policy issues: Implications to designing public participation processes,"Habin Lee, Aggeliki Tsohou, Youngseok Choi",Government Information Quarterly,"Public participation is one of the most important tasks for policy making processes, and public authorities are lacking ideas on designing public participation processes facilitating active citizen participation. Based on a persuasion theory, this paper examines if policy issues embedded with persuasive features draw more attention, longer elaboration time and more participation. Particularly preference matching, location matching, social proof and authority are identified as persuasive features in e-participation context and propositions on their impacts on citizens' participation processes are developed. A prototype mobile participation tool is developed to test the propositions and tested by 80 experiment participants in the UK and Turkey. The findings indicate that the mixture of central and peripheral features is most effective in drawing participation while single feature has limitations. This study also argues that the design of e-participation tools needs to consider the psychological aspects of citizens for motivating their participations.",authority;commitment-consistency;social-proof,3,include,"Government Information Quarterly 2017 study on persuasive features (social-proof, authority, consistency) for public-participation processes; eligible (experimental, persuasion mechanisms, participation outcome).",llm-claude-opus-4-7
openalex:W3121425431,10.1287/mnsc.2017.2833,2017,Complementarity of Signals in Early-Stage Equity Investment Decisions: Evidence from a Randomized Field Experiment,Sofia Bapna,Management Science,"This study employs a randomized field experiment to causally identify what type of signal is likely to complement another signal in the context of financing technology ventures. The study examines the effect of product certification by expert intermediaries, prominent customers, and social proof (that is, others’ interest in investing in a venture) on interest in investing. These three signals are primarily signals of a venture’s product, market, and investment characteristics, respectively. The study finds that signals of product certification and prominent customers, and product certification and social proof are complements. In particular, investors who were able to view the combined product certification and prominent customer signals have a 72% higher likelihood of indicating an interest in making an equity investment than those who did not receive any of the three signals. Similarly, investors who were able to view the combined product certification and social proof signals have a 65% higher likelihood of indicating an interest in investing. These results suggest that in the context of technology ventures, a signal about product characteristics is the key to unlocking the value of signals of market or investment characteristics. This paper was accepted by Gustavo Manso, finance.",social-proof,1,include,"Management Science 2017 randomized field experiment on signals (certification, customer endorsement, social-proof) for early-stage equity investment decisions; eligible (RCT, social-proof, commercial-investment outcome).",llm-claude-opus-4-7
openalex:W2789521142,10.1080/00913367.2017.1405752,2018,Narrative Transportation and Paratextual Features of Social Media in Viral Advertising,"Yuri Seo, Xiaozhu Li, Yung Kyun Choi, Sukki Yoon",Journal of Advertising,"This study establishes that the experience of narrative transportation has a positive influence on viral advertising. The relative strength of this relationship, however, depends on several boundary conditions associated with the paratextual features of social networking service (SNS) environments. Specifically, it is stronger if the senders and intended receivers have personal ties. Moreover, the influence of narrative transportation is negatively moderated by advertising disclosure that elicits persuasion knowledge. Finally, the negative effect of persuasion knowledge is reduced if the ad appears with a higher number of “likes,” which increases social proof for viral ads. Implications regarding viral advertising and social media behaviors are discussed.",social-proof,1,include,"J Advertising 2018 study on narrative transportation × paratextual SNS features × viral advertising; eligible (advertising context, social-proof, viral-ad outcome).",llm-claude-opus-4-7
openalex:W2797271559,10.1080/0144929x.2018.1458903,2018,‘You talking to me?’ The influence of peer communication on adolescents’ persuasion knowledge and attitude towards social advertisements,"Brahim Zarouali, Karolien Poels, Michel Walrave, Koen Ponnet",Behaviour and Information Technology,"This article examines how peer communication among adolescents (14–16 years) affects the evaluation of social advertising (i.e. targeted ad that adopts the social proof heuristic by using an individual’s social ties as endorsers for a brand) on social networking sites (SNSs). More precisely, the focus lies on how engaging in online peer chatting on these social platforms alters persuasion knowledge and attitude towards the ad. In order to test this, two between-subjects experiments were conducted in which adolescents chatted with peers on a mock SNS that contained a social ad. In Experiment 1, results reveal that a social ad generates a more positive attitude among adolescents when they have engaged in online peer communication, and at the same time, triggers less persuasion knowledge. In Experiment 2, the depth of the relationship between the chatters (tie strength) plays a significant moderating role as peer communication with strong ties yields greater effects, compared to communication with weak ties. These findings reveal important social influence dynamics that may alter the elaboration of persuasive communication, leading to valuable theoretical and practical implications.",social-proof,1,include,"Behaviour and Information Technology 2018 on peer communication × social-proof ad evaluation in adolescents; eligible (experimental, social-proof, ad-attitude outcome).",llm-claude-opus-4-7
openalex:W2807840143,10.3389/fcomm.2018.00030,2018,The Effect of Online Social Proof Regarding Organic Food: Comments and Likes on Facebook,"Femke Hilverda, M. Kuttschreuter, Ellen Giebels",Frontiers in Communication,"Social media created a new information environment (e.g. Rutsaert et al., 2013b). Among social media channels, Facebook is the most popular one (Cheung et al., 2011). Using Facebook people can exchange information rapidly with others. Consumers can post a statement or message on Facebook (a post), respond to these posts (the comments) and indicate that they agree with the post and/or comment by using the “thumb up” symbol (the likes). Both comments and likes are cues of social proof, e.g. the viewpoints of others. We investigated how social proof in an online environment impacts reactions towards organic foods in two experimental studies. In study 1, using a representative sample of Dutch internet users (n=124), we manipulated comment valence (positive vs negative) and reinforcement (number of likes: high vs low) on a fictitious Facebook page that included four comments. Consumers’ perceptions, feelings and behavior, such as risk perception, emotions and intended purchasing behavior, were measured. Comment evaluation was used as a moderator. In study 2 (n=88) a full Facebook page, with mixed valence statements, was shown; either the positive or negative statements were reinforced by likes. Results of study 1 showed that the way respondents evaluated the comments in terms of usefulness affected benefit perception and the motivation to find information. Moreover, the interaction between valence and comment evaluation was significant for all dependent variables. That is, the predicted effect of social proof only occurred when the comments were perceived as useful. The number of likes did not have an effect. Results of study 2 where participants watched a full Facebook page with mixed valence comments, showed that the number of likes had an effect on consumers’ reactions, specifically on negative emotions and willingness to pay. This research provides new insights in the effects of explicit as well as implicit online social proof on attitudes towards a positively evaluated topic, namely organic food.",authority;social-proof,2,include,"Frontiers Communication 2018 experiment on social-proof (FB likes/comments) for organic food information; eligible (experimental, social-proof, consumer-attitude outcome).",llm-claude-opus-4-7
openalex:W2922510754,10.1109/saner.2019.8667974,2019,Please Help! A Preliminary Study on the Effect of Social Proof and Legitimization of Paltry Contributions in Donations to OSS,"Ugo Yukizawa, Masateru Tsunoda, Amjed Tahir",,"Open source communities have contributed widely to modern software development. The number of open source software (OSS) has increased rapidly in the past two decades. Most open source foundations (such as Eclipse, Mozilla and Apache) operate as non-profit; those foundations usually seek donations from users/developers to financially support their activities. Without such support, some projects might discontinue to develop, or even disappear. However, contributions to those foundations are usually solicited in a very simple and modest way, with no special promotions or attractions for such contributions. The aim of this study is to promote new strategies that can help to increase donations to OSS projects. We analyzed how existing donation pages are structured. We then introduce behavioral economics and psychological theories that have been used in other disciplines to promote donations in OSS. In particular, we used the social proof theory, i.e., where people tend to consider the actions of others in an attempt to reflect correct behavior when they choose their own actions, and legitimization of paltry contributions strategy i.e., using specific phrases such as “even a very small amount will help” to encourage donations. In this study, we conducted an experiment with University students to examine if those theories are effective in encouraging donations to OSS. Our initial results indicate that the two strategies were indeed effective in promoting donations, and showed that users were more open for donation compared to traditional methods. This is only a preliminary analysis - we aim to include more users in the future for a more comprehensive analysis. We anticipate that such techniques might help OSS projects to secure more donations in the future.",social-proof,1,include,"2019 preliminary study on social proof + legitimization-of-paltry-contributions for OSS donations; eligible (experimental, two persuasion mechanisms, donation outcome).",llm-claude-opus-4-7
openalex:W2964109309,10.1186/s12889-019-7323-y,2019,Cueing healthier alternatives for take-away: a field experiment on the effects of (disclosing) three nudges on food choices,"Tracy Cheung, Marleen Gillebaart, Floor M. Kroese, David Marchiori, Bob M. Fennis, Denise T. D. de Ridder",BMC Public Health,"BACKGROUND: The current field experiment demonstrates the effectiveness of nudging to promote healthy food choices. METHODS: Three types of nudges were implemented at a take-away food vendor: 1) an accessibility nudge that placed fruits at the front counter; 2) a salience nudge that presented healthy bread rolls to be more visually attractive; and 3) a social proof nudge that conveyed yoghurt as a popular choice. We additionally assessed whether nudging effects would remain robust when a disclosure message was included. The field experiment was conducted over a seven-week period. The measured outcome was the sales of the targeted healthy food products. RESULTS: The accessibility nudge significantly increased the sales of the fresh fruits. The impact of the salience nudge was limited presumably due to existing preferences or habits that typically facilitate bread purchases. As the sales of the yoghurt shakes remained consistently low over the seven-week period the impact of the social proof nudge remained unexamined. Critically, disclosing the purpose of the nudges did not interfere with effects. CONCLUSIONS: Current findings suggest nudging as an effective strategy for healthy food promotion, and offer implications for topical debate regarding the ethics of nudges.",social-proof,2,include,"BMC Public Health 2019 field experiment on three nudges (accessibility, salience, social-proof) × take-away food choices; eligible (field experiment, social-proof, consumer-food-choice outcome).",llm-claude-opus-4-7
openalex:W2979463990,10.1002/hbe2.177,2019,Risk and benefit perceptions of human enhancement technologies: The effects of Facebook comments on the acceptance of nanodesigned food,"M. Kuttschreuter, Femke Hilverda",Human Behavior and Emerging Technologies,"The introduction of a new technology, such as a human enhancement technology, may induce apprehension and concern among the general public. Social media enable individuals to find information and share their insights and concerns regarding new technologies. This results in an abundance of viewpoints that guides the individual's acceptance and decision-making. A relevant question for this special issue is to what extent attitudes toward human enhancement technologies are influenced by online cues that signal the views of other people without obvious relevant expertise, such as online comments (social proof). An online experiment focusing on the enhancement of human health and the functioning of the human body through the application of nanotechnology in food was conducted. The study investigated to what extent social proof impacted views on the application of nanotechnology in food. The valence of comments on a fake Facebook image with four comments was manipulated (positive, negative, mixed). A representative sample of Dutch Internet users (n = 289) completed the study. Perceptions, feelings, behavior, and information need were measured. Results showed that comment valence had a significant effect on risk perception, benefit perception and attitude: the more positive the comments read by the participants, the lower risk perception, the higher benefit perception and the more positive the attitude toward nanodesigned food. Significant interaction effects of initial feelings of dread and comment valence were further found for risk perception and willingness to buy. In contrast, there were no significant interactions of initial feelings of optimism and comment valence. Implications for risk communication regarding human enhancement technologies are discussed.",authority;social-proof,2,include,"Human Behavior and Emerging Technologies 2019 on social media (FB) comments × authority/social-proof × nanodesigned food acceptance; eligible (experimental, social-proof, consumer-acceptance outcome).",llm-claude-opus-4-7
openalex:W3013551346,10.1037/hea0000854,2020,The effect of persuasive messages on hospital visitors’ hand hygiene behavior.,"Susanne Gaube, Peter Fischer, Verena Windl, Eva Lermer",Health Psychology,"OBJECTIVE: Hospital visitors pose a risk for transmitting pathogens that can cause health care-associated infections. The present study aimed to test an evidence-based intervention to improve visitors' hand hygiene behavior through persuasive messages. METHOD: For the 14-week-long field experiment, 7 signs were designed according to the principles of persuasion proposed by Cialdini: reciprocity, consistency, social-proof, unity, liking, authority, and scarcity. Each sign was displayed on a screen for 1 week directly above the hand-rub dispenser in a hospital lobby. After each 1-week posting, the screen was blank for 1 week. RESULTS: An electronic monitoring system counted 246,098 people entering and leaving the hospital's lobby and 17,308 dispenser usages. The signs based on the authority and the social-proof principles significantly increased the hand-rub dispenser usage rate in comparison to the average baseline usage rate. CONCLUSIONS: These results indicate that simple and cost-efficient interventions can initiate expedient behavior change in hospitals. However, the findings also highlight the importance of careful planning and rigorous pretesting of material for an intervention to be effective. Theoretical and practical implications of these findings are discussed. (PsycInfo Database Record (c) 2020 APA, all rights reserved).",social-proof;reciprocity,3,include,"Health Psychology 2020 14-week field experiment using 7 Cialdini principles on hospital visitor hand hygiene; eligible (field experiment, multiple persuasion principles, behavioral outcome).",llm-claude-opus-4-7
openalex:W3040254621,10.1016/j.jretconser.2020.102174,2020,Persuasive location-based messaging to increase store visits: An exploratory study of fashion shoppers,"Selmar Meents, Tibert Verhagen, Jani Merikivi, Jesse Weltevreden",Journal of Retailing and Consumer Services,"Although it appears increasingly important yet potentially challenging to attract customers to physical stores, location-based messaging, i.e., delivering mobile phone messages using data about the recipient's location when that recipient is near the sender, has been said to enable such attraction. Still, existing studies offer very limited insight into which particular location-based persuasion approach retailers should use. Drawing on persuasion theory, this exploratory study aims to investigate and compare the potential of two discrepant persuasion techniques (scarcity and social proof) to influence customers' experiences and thereby stimulate them to visit the retailer's physical store. A factorial survey design was applied to test the research model. Data were collected from a sample of actual customers of a Dutch fashion retailer (n = 579). The results suggest that scarcity is a more effective persuasion technique in the studied context than social proof; scarcity-focused messages appear to be experienced as more informative, more entertaining and less irritating, seem to be valued more because of this, and are thus more likely to incline customers to visit the store. We discuss these findings and their implications for theory as well as for practice.",social-proof,1,include,"J Retailing Consumer Services 2020 study on persuasive location-based messaging × store-visit intent for fashion shoppers; eligible (commercial context, persuasion technique, visit-intent outcome).",llm-claude-opus-4-7
