id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2104775477,10.1509/jmkr.43.1.11,2006,The Nature of Fit and the Origins of “Feeling Right”: A Goal-Systemic Perspective,Arie W. Kruglanski,Journal of Marketing Research,"This article considers the notion of regulatory fit from a goal-systemic perspective. It is suggested that regulatory fit, as Avnet and Higgins (2006) define it, corresponds to a match between a person's activity and his or her (background) process goal of pursuing an (focal) attainment goal in a desired manner. The author considers prior regulatory fit data from this perspective and raises additional issues for further research and theoretical elucidation.",regulatory-fit,1,include,JMR 2006 commentary on Avnet & Higgins regulatory fit goal-systemic perspective; eligible (theoretical contribution to empirical regulatory-fit literature in marketing context).,llm-claude-opus-4-7
openalex:W2121187545,10.1509/jmkr.43.1.1,2006,How Regulatory Fit Affects Value in Consumer Choices and Opinions,"Tamar Avnet, E. Tory Higgins",Journal of Marketing Research,"Regulatory fit occurs when the manner of peoples' engagement in an activity sustains their current goal orientation or concerns with that activity. It is proposed that regulatory fit changes the significance of consumers' reactions to something, including the perceived monetary value of a choice they have made or the persuasiveness of a message they have received. When there is a fit, people engage more strongly in and “feel right” about what they are doing, and subsequent evaluative reactions (positive or negative) can be intensified by this fit experience. The fit experience is shown to influence the strength of value experiences independent of hedonic experiences. The authors discuss how the fit effect on value is distinct from other factors that affect value, such as relevancy, matching, hedonic mood, and arousal. Using prior research on this topic, this article summarizes the current state of knowledge about how fit influences value and offers new ideas for further research.",regulatory-fit,1,include,"JMR 2006 on regulatory fit × monetary value of consumer choices × persuasion; eligible (experimental, regulatory fit, consumer-decision outcome).",llm-claude-opus-4-7
openalex:W1970045542,10.1016/j.jesp.2007.07.013,2007,A field experiment testing the utility of regulatory fit messages for promoting physical activity,"Amy E. Latimer‐Cheung, Susan E. Rivers, Tara A. Rench, Nicole A. Katulak, Althea Hicks, Julie Keany Hodorowski, E. Tory Higgins, Peter Salovey",Journal of Experimental Social Psychology,,regulatory-fit,1,include,"JESP 2007 field experiment on regulatory fit messages for promoting physical activity; eligible (field experiment, regulatory fit, behavior outcome).",llm-claude-opus-4-7
openalex:W1987366883,10.1002/ejsp.570,2008,“This story is right on”: The impact of regulatory fit on narrative engagement and persuasion,"Leigh Ann Vaughn, Sarah J. Hesse, Zhivka Petkova, Lindsay Trudeau",European Journal of Social Psychology,"Abstract When people read a story, feelings of rightness from regulatory fit (consistency between regulatory state and strategic means) could suggest that the story is “right on” relative to feelings of wrongness from regulatory nonfit. Under these conditions, individuals who are experiencing feelings of rightness should engage more with the narrative and be more persuaded by its implicit messages. Results from two experiments supported these hypotheses. Participants in Experiment 1 were more mentally engaged (transported) by the story when they experienced regulatory fit. We replicated this effect in Experiment 2 and extended it to endorsement of story‐consistent beliefs, an indicator of persuasion via narratives. Additionally, we found that drawing participants' attention to an earlier event as a source of feelings of rightness eliminated the regulatory fit effects on transportation and persuasion, suggesting attribution of feelings of regulatory fit/nonfit to the plausibility of the narrative world. Copyright © 2008 John Wiley &amp; Sons, Ltd.",regulatory-fit,1,include,"EJSP 2008 two experiments on regulatory fit × narrative engagement → persuasion; eligible (experimental, regulatory fit, persuasion outcome).",llm-claude-opus-4-7
openalex:W2125898335,10.1086/521902,2008,Be Fit and Be Strong: Mastering Self-Regulation through Regulatory Fit,"Jiewen Hong, Angela Y. Lee",Journal of Consumer Research,"This research examines the effect of regulatory fit on self-regulation. People experience regulatory fit when their strategy of goal pursuit fits (vs. conflicts) with their regulatory focus. Four experiments provide support for the hypothesis that regulatory fit improves whereas regulatory nonfit impairs self-regulatory performance. These results were obtained across multiple self-regulatory tasks that included a handgrip exercise to test physical endurance (experiment 1), a choice between a healthy and a decadent snack to test willpower in the face of temptation (experiments 2 and 3), and a health-related compliance decision to demonstrate self-regulation (experiment 4). Intensified motivation seems to be the mechanism underlying the regulatory fit effect. Imagine Susan and Jim searching online for a new cellular phone. Susan wants to find a phone that ensures her calls get through even when the signals are patchy, whereas Jim’s goal is to get a phone that makes him stand out and look good. Both Susan and Jim make their selection based on an analysis of the features of the phones and place their orders. An interesting question that this research addresses is whether Susan and Jim are more or less likely to head out to the gym for a workout when they log off—would their online shopping experience affect a subsequent behavior that requires self-regulation? Consumer self-regulation or the lack thereof has captured the interest and attention of researchers in the last decades. Research has examined how consumers engage in impulse buying (e.g., O’Guinn and Faber 1989; Rook 1987; Vohs and Faber 2007), make decisions based on affective versus cognitive response (e.g., Drolet and Luce 2004; Shiv and Fedorikhin 1999), and indulge in hedonic rather than utilitarian consumptions (Kivetz and Simonson 2002). More recently, researchers have begun to examine factors that influence self-regulation. In particular, consumer self-regu-",regulatory-fit,2,include,"J Consumer Research 2008 four experiments on regulatory fit × self-regulation including snack choice / consumer decision; eligible (experimental, regulatory fit, consumer-decision outcome).",llm-claude-opus-4-7
openalex:W2134960354,10.1111/j.1467-9280.2008.02102.x,2008,Making Message Recipients “Feel Right”,"Joseph Cesario, E. Tory Higgins",Psychological Science,"Nonverbal cues are an inherent component of most persuasive appeals. We use regulatory-fit theory as a framework for understanding the effect of nonverbal cues on a message's effectiveness, and as a foundation for developing a new persuasion technique. We propose that when the nonverbal cues of a message source sustain the motivational orientation of the recipient, the recipient experiences regulatory fit and feels right, and that this experience influences the message's effectiveness. Experimental results support these predictions. Participants experiencing regulatory fit (promotion-focus participants viewing messages delivered in an eager nonverbal style, prevention-focus participants viewing messages delivered in a vigilant nonverbal style) had more positive attitudes toward a message's topic and greater intentions to behave in accordance with its recommendation than did participants experiencing nonfit. Feeling right was also greater for participants experiencing fit than for those experiencing nonfit and was associated with greater message effectiveness. Regulatory-fit theory provides a framework for making precise predictions about when and for whom a nonverbal cue will affect persuasion.",regulatory-fit,1,include,"Psychological Science 2008 experiments on regulatory fit × nonverbal cues for message persuasion; eligible (experimental, regulatory fit, persuasion outcome).",llm-claude-opus-4-7
openalex:W1983096230,10.1007/s11747-009-0165-x,2009,Service firms and customer loyalty programs: a regulatory fit perspective of reward preferences in a health club setting,"Ahmad Daryanto, Ko de Ruyter, Martin Wetzels, Paul G. Patterson",Journal of the Academy of Marketing Science,,regulatory-fit,1,include,"J Academy of Marketing Science 2009 on regulatory fit × customer loyalty programs in health club; eligible (commercial-marketing context, regulatory fit, customer-reward outcome).",llm-claude-opus-4-7
openalex:W1993888958,10.1016/j.jcps.2009.03.002,2009,Regulatory fit from attribute‐based versus alternative‐based processing in decision making,"Mehdi Mourali, Frank Pons",Journal of Consumer Psychology,"Abstract This paper discusses the fit between attribute‐based versus alternative‐based processing and regulatory focus, and its impact on decision outcome valuation. Attribute‐based processing was found to occur more frequently under prevention focus, whereas alternative‐based processing occurred more frequently under promotion focus. The fit between prevention/promotion focus and attribute‐based/alternative‐based processing was found to enhance satisfaction with choices and the perceived monetary value of chosen options. Moreover, the effect of fit on outcome valuation was found to be mediated by ease of processing. Finally, the effects of fit on ease of processing and outcome valuation disappeared when consumers first practiced to process information based on either attributes or alternatives.",regulatory-fit,1,include,"J Consumer Psych 2009 on regulatory fit × decision-making attribute vs alternative processing; eligible (experimental, regulatory fit, decision outcome).",llm-claude-opus-4-7
openalex:W2110336690,10.1177/0146167209339076,2009,Incidental Experiences of Regulatory Fit and the Processing of Persuasive Appeals,"Anne M. Koenig, Joseph Cesario, Daniel C. Molden, Spee Kosloff, E. Tory Higgins",Personality and Social Psychology Bulletin,"This article examines how the subjective experiences of ""feeling right"" from regulatory fit and of ""feeling wrong"" from regulatory non-fit influence the way people process persuasive messages. Across three studies, incidental experiences of regulatory fit increased reliance on source expertise and decreased resistance to counterpersuasion, whereas incidental experiences of regulatory non-fit increased reliance on argument strength and increased resistance to counterpersuasion. These results suggest that incidental fit and non-fit experiences can produce, respectively, more superficial or more thorough processing of persuasive messages. The mechanisms underlying these effects, and the conditions under which they should and should not be expected, are discussed.",regulatory-fit,1,include,"PSPB 2009 three studies on incidental regulatory fit × persuasive message processing; eligible (experimental, regulatory fit, persuasion outcome).",llm-claude-opus-4-7
openalex:W2110729267,10.1521/soco.2009.27.3.365,2009,Regulatory Fit in Negotiation: Effects of “Prevention-Buyer” and “Promotion-Seller” Fit,"Kirstin C. Appelt, Xi Zou, Poonam Arora, E. Tory Higgins",Social Cognition,"We propose that the psychological effects of performing the buyer versus the seller role in a negotiation depend on regulatory fit (Higgins, 2000) with the demands of the role. When the negotiation emphasizes price, buyers want to pay only what is necessary (minimize monetary loss), which fits prevention focus concerns, whereas sellers want to attain as much money as possible (maximize monetary gain), which fits promotion focus concerns. Study 1 used a hypothetical price negotiation and found that planned demand was greater in the focus-role fit conditions (prevention-buyer; promotion-seller) than in the nonfit conditions. In Study 2, a real price negotiation, buyers adopted a nonloss/loss frame whereas sellers adopted a gain/nongain frame. Negotiators in the focus-role fit conditions subjectively experienced fit, had more demanding opening offers, and, when paired with another negotiator in focus-role fit, impassed more often. Extensions and applications of focus-role fit are discussed.",regulatory-fit,2,include,"Social Cognition 2009 negotiation experiment on regulatory fit × buyer/seller role; eligible (experimental, regulatory fit, negotiation outcome — contract value-relevant).",llm-claude-opus-4-7
doi:10.1086/605591,10.1086/605591,2010,Value from Regulatory Construal Fit: The Persuasive Impact of Fit between Consumer Goals and Message Concreteness,"Angela Y. Lee, Punam Anand Keller, Brian Sternthal",Journal of Consumer Research,,regulatory-fit,1,include,"J Consumer Research 2010 study on regulatory construal fit × consumer-goal × message-concreteness for persuasion; eligible (experimental, regulatory fit + construal, persuasion outcome).",llm-claude-opus-4-7
openalex:W1982869473,10.2753/joa0091-3367390102,2010,"The Impact of Regulatory Focus, Temporal Orientation, and Fit on Consumer Responses to Health-Related Advertising","Jeremy Kees, Scot Burton, Andrea Heintz Tangari",Journal of Advertising,"This research examines the effects of message framing of health advertisements and individual differences in temporal orientation on consumer risk perceptions, attitude, and behavioral intentions. Results from two between-subjects experiments indicate that consumers' temporal orientation moderates ad-framing effects related to goal pursuit strategies (GPS). In Study 1, a GPS manipulation in the ad message has a significant influence on consumers' attitude toward the ad; this effect is moderated by temporal orientation, however. Also, results suggest that consumer risk perceptions mediate the interaction effect. Study 2 demonstrates that a ""fit"" between a GPS manipulation in the ad and consumers' chronic regulatory focus increases the effectiveness of the advertisement, but the regulatory fit effect is moderated by temporal orientation. Implications are offered for theory, as well as for creators of public service advertising campaigns.",regulatory-fit,1,include,J Advertising 2010 two between-subjects experiments on regulatory focus × temporal orientation × ad framing × consumer behavioral intentions; eligible.,llm-claude-opus-4-7
openalex:W2055291571,10.1089/cyber.2009.0292,2010,The Influence of Regulatory Fit and Interactivity on Brand Satisfaction and Trust in E-Health Marketing Inside 3D Virtual Worlds ( <i>Second Life</i> ),"Seung‐A Annie Jin, Kwan Min Lee",Cyberpsychology Behavior and Social Networking,"Interactive three-dimensional (3D) virtual environments like Second Life have great potential as venues for effective e-health marketing and e-brand management. Drawing from regulatory focus and interactivity literatures, this study examined the effects of the regulatory fit that consumers experience in interactive e-health marketing on their brand satisfaction and brand trust. The results of a two-group comparison experiment conducted within Second Life revealed that consumers in the regulatory fit condition show greater brand satisfaction and brand trust than those in the regulatory misfit condition, thus confirming the persuasive influence of regulatory fit in e-brand management inside 3D virtual worlds. In addition, a structural equation modeling analysis demonstrated the mediating role of consumers' perceived interactivity in explaining the processional link between regulatory fit and brand evaluation. Theoretical contributions and managerial implications of these findings are discussed.",regulatory-fit,1,include,"Cyberpsychology Behavior 2010 two-group experiment in Second Life e-health marketing on regulatory fit × brand satisfaction/trust; eligible (experimental, regulatory fit, brand-evaluation outcome).",llm-claude-opus-4-7
openalex:W2083621961,10.1016/j.jcps.2010.05.001,2010,The role of regulatory fit on the attraction effect,"Subimal Chatterjee, Rajat Roy, Ashwin Malshe",Journal of Consumer Psychology,"Abstract We show that adding entrant brands to a choice set compr ising of a predominantly promotion brand and a predominantly prevention brand can make both promotion and prevention‐oriented consumers susceptible to the attraction effect. If an entrant targets the brand possessing superior promotion (prevention) feature, the resulting dominance relationship allows the promotion (prevention) focused consumers to sustain their regulatory focus. Entrant brands (and the associated dominance heuristic) therefore contribute to decision value by allowing both promotion and prevention‐focused consumers pursue their goal in a way that fits with their regulatory concerns.",regulatory-fit,1,include,"J Consumer Psych 2010 on regulatory fit × attraction effect with entrant brands; eligible (experimental, regulatory fit, consumer-choice outcome).",llm-claude-opus-4-7
openalex:W2103540383,10.1086/655668,2010,"Regulatory Focus, Regulatory Fit, and the Search and Consideration of Choice Alternatives","Michel Tuan Pham, Hannah H. Chang",Journal of Consumer Research,"This research investigates the effects of regulatory focus on alternative search and consideration set formation in consumer decision making. Results from three experiments yield two primary findings. First, promotion-focused consumers tend to search for alternatives at a more global level, whereas prevention-focused consumers tend to search for alternatives at a more local level. Second, promotion-focused consumers tend to have larger consideration sets than do prevention-focused consumers. Building on these two primary findings, it is additionally shown that whereas promotion-focused consumers attach relatively greater value to options chosen from hierarchically structured sets, prevention-focused consumers attach relatively greater value to options chosen from nonhierarchically structured item lists. Finally, whereas promotion-focused consumers attach significantly greater value to options chosen from larger sets than to options chosen from smaller sets, prevention-focused consumers do not attach significantly less value to options chosen from larger sets than to options chosen from smaller sets. (c) 2010 by JOURNAL OF CONSUMER RESEARCH, Inc..",regulatory-fit,2,include,"J Consumer Research 2010 three experiments on regulatory focus × consumer choice / consideration sets; eligible (experimental, regulatory focus, consumer-decision outcome).",llm-claude-opus-4-7
openalex:W2145907678,10.1080/13527260903342696,2010,The influence of regulatory fit on evaluation and intentions to buy genetically modified foods: The mediating role of social identification,"Marieke L. Fransen, Machiel J. Reinders, Jos Bartels, Ruth L. Maassen",Journal of Marketing Communications,"The present study examines how communicated messages could be effective in affecting consumers' attitudes and behavioural intentions regarding genetically modified (GM) foods. Based on Regulatory Focus Theory, it was hypothesized that exposure to a communication message matching a consumer's regulatory orientation (i.e. regulatory fit) leads to more positive attitudes and greater willingness to buy GM foods than exposure to a communication message that does not match with consumer's regulatory orientation. Moreover, it was expected that social identification with the consumer of GM foods mediates the relationship between both regulatory fit and attitudes and regulatory fit and behavioural intentions. The results support our hypotheses by showing that communicated messages that are congruent (vs incongruent) with consumers' regulatory orientations enhanced social identification with the consumer of GM foods, which, in turn, positively affected attitudes and behavioural intentions. Management implications for designing informative messages regarding GM foods are discussed.",regulatory-fit,1,include,"J Marketing Communications 2010 study on regulatory fit × GM-foods buying intent (social-identification mediator); eligible (experimental, regulatory fit, buying-intent outcome).",llm-claude-opus-4-7
openalex:W2371572286,,2011,The Coincidence between the Regulatory Fit Effects Based on Chronic Regulatory Focus and Situational Regulatory Focus,"Ling Wang, Lin Huiyun, Pang Xiaoming",Acta Psychologica Sinica,"Regulatory fit theory proposes that the fit between regulatory focus and information frame will strengthen the individual's evaluation on the information, as well as the affect and motivation. However, the regulatory focus involves two different types: situational focus and chronic focus, the former is induced by environmental factors, while the latter reflects stable personality. Thus, an interesting question is, whether the regulatory fits based on different types of regulatory focus have the same effect? And this is the purpose of the present study. Experiment 1 adopted 2 (chronic regulatory focus: promotion vs. prevention) ×2 (information frame: positive vs. negative) between-subjects design to explore the influence of regulatory fit between chronic focus and information frame upon the effect of persuasion. Experiment 2 also adopted 2 (situational regulatory focus: promotion vs. prevention) ×2 (information frame: positive vs. negative) between-subjects design to explore the effect of regulatory fit between situational focus and information frame upon the effect of persuasion. Data were collected from 166 college students (113 in Experiment 1 and 53 in Experiment 2). In experiment 1, MANOVA revealed significant interactions between regulatory focus and information frame on the information value and mood intensity, while in experiment 2, in addition to information value and mood intensity, MANOVA revealed significant interaction on behavior intention. Taken together, results showed the regulatory fit based on chronic regulatory focus and the regulatory fit based on situational regulatory focus have the same influence on information value and mood intensity (they both improve the value of information and increase the intensity of mood); however, they have different influence on behavior intention (the former has no impact on behavior intention while the latter can improve behavior intention). This conclusion is beneficial to understand the difference between chronic regulatory focus and situational regulatory focus, as well as the difference between the two kinds of regulatory fit based on them.",regulatory-fit,1,include,"Acta Psychologica Sinica 2011 on regulatory fit chronic vs situational; eligible (experimental, regulatory fit, persuasion outcome).",llm-claude-opus-4-7
openalex:W2056941195,10.1080/07359683.2012.732847,2012,The Effects of Message Framing and Risk Perceptions for HPV Vaccine Campaigns: Focus on the Role of Regulatory Fit,Sunyoung Park,Health Marketing Quarterly,"This study investigates the effects of framing and risk perception, and their interaction effects on human papillomavirus (HPV) vaccination. Based on a 2 (message frames) × 2 (perceived risk) experimental design, the interaction effects reveal the effectiveness of loss- (vs. gain-) framed messages would be maximized for high (vs. low) perceived risk condition. Based on regulatory fit principles the synergy effects are shown in terms of attitudes toward advertising and HPV vaccination, HPV vaccination intention, and ad-promoted behavioral intention. The findings indicate right message appeals should be selected for the right target audiences in the setting of HPV vaccine promotions.",regulatory-fit,1,include,Health Marketing Quarterly 2012 2×2 experiment on framing × risk perceptions × regulatory fit for HPV vaccination; eligible.,llm-claude-opus-4-7
openalex:W2042641336,10.1016/j.indmarman.2013.07.005,2013,Take it or leave it: Using regulatory fit theory to understand reward redemption in channel reward programs,"Debbie Keeling, Ahmad Daryanto, Ko de Ruyter, Martin Wetzels",Industrial Marketing Management,,regulatory-fit,1,include,"Industrial Marketing Management 2013 on regulatory fit × channel reward redemption; eligible (commercial-channel-reward context, regulatory fit, redemption outcome).",llm-claude-opus-4-7
openalex:W2101287419,10.1016/j.jcps.2013.11.004,2013,Regulatory fit: A meta‐analytic synthesis,"Scott Motyka, Dhruv Grewal, Nancy M. Puccinelli, Anne L. Roggeveen, Tamar Avnet, Ahmad Daryanto, Ko de Ruyter, Martin Wetzels",Journal of Consumer Psychology,"Abstract Regulatory fit, or the match between an individual's regulatory orientation and the strategy used to sustain it, offers a pervasive predictor of customer behavior. Merely reaching a decision in a certain way influences the value of a decision or an outcome. In this research, we conduct a meta‐analysis to more fully articulate the role of important conceptual moderators and demonstrate their differential effects on evaluation, behavioral intention, and behavior. In particular, we look at the source of regulatory focus (self‐prime, situation‐prime, chronic), the orientation (prevention, promotion), how fit is created (sustaining, matching), how fit is constructed (action, observation), and the scope of fit (incidental, integral). We also shed light on the role of several contextual factors.",regulatory-fit,1,include,J Consumer Psych 2013 meta-analysis of regulatory fit (Customer behavior moderators); eligible (meta-analysis).,llm-claude-opus-4-7
