doi,title,is_oa,oa_url,stage1_included,techniques,already_extracted,extractability_tier,rationale
10.1016/j.ijpsycho.2009.05.006,"Something to gain, something to lose: The cardiovascular consequences of outcome framing",False,,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1016/j.jesp.2007.06.001,Selective exposure and decision framing: The impact of gain and loss framing on confirmatory information search after de,True,https://hal.science/hal-00563508,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1177/0146167299258006,Compliance with a Request in Two Cultures: The Differential Influence of Social Proof and Commitment/Consistency on Coll,False,,True,commitment-consistency;social-proof,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1111/j.1445-5994.1998.tb01953.x,Commercial detailing techniques used by pharmaceutical representatives to influence prescribing,False,,True,commitment-consistency;reciprocity,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1002/ejsp.2420170311,Tabacco deprivation: The foot‐in‐the‐door technique versus the low‐ball technique,False,,True,fitd;lowball,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1037//0022-3514.32.5.774,Effects of initial request size and timing of a second request on compliance: The foot in the door and the door in the f,False,,True,ditf;fitd,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1108/gkmc-06-2023-0188,Social proof: empowering social commerce through social validation,False,,True,social-proof,False,UNKNOWN,DOI prefix 10.1108 not in observed-publisher table
10.1093/joc/jqaf002,A meta-analysis of gain–loss framing effects in narrative persuasion,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1093 not in observed-publisher table
10.1016/j.ecolecon.2025.108561,The benefits of less: The effect of sufficiency gain framing on sufficiency behavior,True,https://doi.org/10.1016/j.ecolecon.2025.108561,True,gain-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1016/j.ecolecon.2024.108344,Saving the world voluntarily: Experimental evidence of gain-loss framing on voluntary pro-environmental behavior,True,https://doi.org/10.1016/j.ecolecon.2024.108344,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.3386/w29828,Loss Aversion or Lack of Trust: Why Does Loss Framing Work to Encourage Preventative Health Behaviors?,True,https://doi.org/10.3386/w29828,True,loss-framing,False,UNKNOWN,DOI prefix 10.3386 not in observed-publisher table
10.1016/j.foodqual.2021.104500,Gain framing increases support for measures promoting plant-based eating in university settings,True,https://doi.org/10.1016/j.foodqual.2021.104500,True,gain-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.3389/fpsyg.2021.568212,Framing Messages to Deal With the COVID-19 Crisis: The Role of Loss/Gain Frames and Content,True,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.568212/pdf,True,gain-framing,True,HIGH,Frontiers direct
10.24251/hicss.2021.271,Building Community Resilience Using Gain-Loss Framing to Nudge Homeowner Mitigation and Insurance Decision-making,True,http://scholarspace.manoa.hawaii.edu/bitstream/10125/70884/1/0217.pdf,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.24251 not in observed-publisher table
10.4324/9781003128052,Evaluating Social Media Marketing,False,,True,social-proof,False,UNKNOWN,DOI prefix 10.4324 not in observed-publisher table
10.1007/s42973-021-00076-w,Effective but fragile? Responses to repeated nudge-based messages for preventing the spread of COVID-19 infection,True,https://link.springer.com/content/pdf/10.1007/s42973-021-00076-w.pdf,True,gain-framing;loss-framing,False,MEDIUM,"Springer — mixed; atlas-040 extracted cleanly from open chapter, atlas-042 extracted cleanly; but some chapters paywalled despite is_oa=true"
10.31235/osf.io/7pykj,Prospect Theory in Times of a Pandemic: The Effects of Gain versus Loss Framing on Policy Preferences and Emotional Resp,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.31235 not in observed-publisher table
10.1007/s12525-020-00414-7,AI-based chatbots in customer service and their effects on user compliance,True,https://link.springer.com/content/pdf/10.1007/s12525-020-00414-7.pdf,True,commitment-consistency;fitd,True,MEDIUM,"Springer — mixed; atlas-040 extracted cleanly from open chapter, atlas-042 extracted cleanly; but some chapters paywalled despite is_oa=true"
10.1037/pspa0000261,Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975) classic door-in-the,False,,True,ditf;reciprocity,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1002/nvsm.1675,The relative effectiveness of <scp>gain‐framed</scp> and <scp>loss‐framed</scp> messages in charity advertising: <scp>Me,False,,True,gain-framing;loss-framing,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1017/s1368980019004683,The effects of gain- and loss-framed nutritional messages on children’s healthy eating behaviour,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F5B3B2B1996698EB32AFA07D7C50F62D/S1368980019004683a.pdf/div-class-title-the-effects-of-gain-and-loss-framed-nutritional-messages-on-children-s-healthy-eating-behaviour-div.pdf,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1017 not in observed-publisher table
10.1111/risa.13379,"Loss/Gain Framing, Dose, and Reactance: A Message Experiment",False,,True,gain-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1080/15551393.2019.1638785,A Process Analysis of Message Style and Persuasion: The Effects of Gain-Loss Framing and Emotion-Inducing Imagery,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10810730.2019.1581305,Testing the Role of Narrative and Gain-Loss Framing in Messages to Promote Sleep Hygiene among High School Students,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1002/hbe2.177,Risk and benefit perceptions of human enhancement technologies: The effects of Facebook comments on the acceptance of na,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbe2.177,True,authority;social-proof,True,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1177/0033294119872208,The Foot-in-the-Door Phenomenon 40 and 50 Years Later: A Direct Replication of the Original Freedman and Fraser Study in,False,,True,fitd,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1186/s12889-019-7323-y,Cueing healthier alternatives for take-away: a field experiment on the effects of (disclosing) three nudges on food choi,True,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-019-7323-y,True,social-proof,True,HIGH,"BMC — clean HTML, atlas-036 extracted cleanly"
10.1080/01292986.2018.1491057,The effects of gain versus loss framing and issue involvement on publics’ responses to nuclear energy messages in South ,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.3389/fcomm.2018.00030,The Effect of Online Social Proof Regarding Organic Food: Comments and Likes on Facebook,True,https://www.frontiersin.org/articles/10.3389/fcomm.2018.00030/pdf,True,authority;social-proof,True,HIGH,Frontiers direct
10.1080/10810730.2018.1493059,Reading or Listening to a Gain- or Loss-Framed Health Message: Effects of Message Framing and Communication Mode in the ,True,https://www.tandfonline.com/doi/pdf/10.1080/10810730.2018.1493059?needAccess=true,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1177/0033294117745885,Mindfulness and Compliance: The Way We Make Requests Influences Compliance With the Foot-in-the-Door Strategy,False,,True,fitd,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1016/j.jpubeco.2017.02.003,The behavioralist as tax collector: Using natural field experiments to enhance tax compliance,True,https://www.sciencedirect.com/science/article/pii/S0047272717300166,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1080/00913367.2017.1321069,Guilt and Shame: Environmental Message Framing Effects,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10810730.2017.1396629,Conditional Effects of Gain–Loss-Framed Narratives among Current Smokers at Different Stages of Change,True,https://dr.ntu.edu.sg/bitstream/10356/142803/2/SmokingNarrativeFraming_JHC_fulltext.pdf,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/07359683.2016.1199209,A health fundraising experiment using the “foot-in-the-door” technique,False,,True,fitd,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1002/ijop.12289,Understanding the foot‐in‐the‐door effect as a pseudo‐effect from the perspective of the Campbell paradigm,False,,True,fitd,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1016/j.erap.2016.06.004,A meta-analysis of the effectiveness of the low-ball compliance-gaining procedure,False,,True,lowball,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1080/15377857.2015.1086137,Pushing Too Hard: Using Door-in-the-Face to Get Voters out the Door,False,,True,ditf,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/02650487.2014.994731,Message framing in green advertising: the effect of construal level and consumer environmental concern,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10810730.2015.1018623,"Effects of Issue Involvement and Framing of a Responsible Drinking Message on Attitudes, Intentions, and Behavior",True,https://handle.uba.uva.nl/personal/pure/en/publications/effects-of-issue-involvement-and-framing-of-a-responsible-drinking-message-on-attitudes-intentions-and-behavior(c2bedee1-53d6-4f6d-a9f7-dbf6ef205315).html,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/15534510.2015.1049203,The low-ball compliance procedure: a meta-analysis,False,,True,lowball,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10410236.2014.910882,"Antecedents to Psychological Reactance: The Impact of Threat, Message Frame, and Choice",False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1177/0093650214534973,Framing Virtual Experiences,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
10.1080/10810730.2013.837557,The Relative Persuasiveness of Gain-Framed Versus Loss-Framed HIV Testing Message: Evidence From a Field Experiment in N,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1111/jasp.12156,Emotional disrupt‐then‐reframe technique of social influence,False,,True,disrupt-then-reframe,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1007/s12160-013-9543-1,The Effectiveness of Gain- Versus Loss-Framed Health Messages in Improving Oral Health in Iranian Secondary Schools: A C,True,https://academic.oup.com/abm/article-pdf/47/3/376/21982663/12160_2013_article_9543.pdf,True,gain-framing;loss-framing,False,MEDIUM,"Springer — mixed; atlas-040 extracted cleanly from open chapter, atlas-042 extracted cleanly; but some chapters paywalled despite is_oa=true"
10.1080/15534510.2013.798243,Low-ball and compliance: Commitment even if the request is a deviant one,False,,True,lowball,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.2466/07.17.21.pr0.111.6.669-686,Effects of Subliminal Affective Priming on Helping Behavior Using the Foot-in-the-Door Technique,False,,True,fitd,False,UNKNOWN,DOI prefix 10.2466 not in observed-publisher table
10.3390/ijerph9062121,Gain-Framed Messages Do Not Motivate Sun Protection: A Meta-Analytic Review of Randomized Trials Comparing Gain-Framed a,True,https://www.mdpi.com/1660-4601/9/6/2121/pdf?version=1403139729,True,gain-framing;loss-framing,False,HIGH,MDPI direct
10.1080/10410236.2011.640974,The Relative Persuasiveness of Gain- and Loss-Framed Messages for Promoting Vaccination: A Meta-Analytic Review,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1007/s12160-012-9366-5,Predicting Human Papillomavirus Vaccine Uptake in Young Adult Women: Comparing the Health Belief Model and Theory of Pla,True,https://academic.oup.com/abm/article-pdf/44/2/171/22070407/12160_2012_article_9366.pdf,True,gain-framing;loss-framing,False,MEDIUM,"Springer — mixed; atlas-040 extracted cleanly from open chapter, atlas-042 extracted cleanly; but some chapters paywalled despite is_oa=true"
,Health communication message design : theory and practice,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1111/j.1460-2466.2012.01655.x,"Emotion, Motivation, and the Persuasive Effects of Message Framing",False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1037/a0030126,Do you want the good news or the bad news? Gain- versus loss-framed messages following health risk information: The effe,False,,True,gain-framing;loss-framing,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1037/a0029305,The role of dispositional factors in moderating message framing effects.,True,https://durham-repository.worktribe.com/output/1477215,True,gain-framing;loss-framing,True,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1080/10410236.2011.567447,"Communicating to Young Adults About HPV Vaccination: Consideration of Message Framing, Motivation, and Gender",False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1037/a0023677,Effective communication of risks to young adults: Using message framing and visual aids to increase condom use and STD s,False,,True,gain-framing;loss-framing,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1080/08870446.2010.526715,The persuasive effects of framing messages on fruit and vegetable consumption according to regulatory focus theory,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10410236.2011.617243,Acceptability of the H1N1 Vaccine Among Older Adults: The Interplay of Message Framing and Perceived Vaccine Safety and ,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/08824096.2011.616242,Gain- and Loss-Frame Sun Safety Messages and Psychological Reactance of Adolescents,True,https://www.ncbi.nlm.nih.gov/pmc/articles/9031367,True,gain-framing;loss-framing,False,HIGH,"PubMed Central — clean HTML + JATS XML, atlas-014 + atlas-015 + atlas-036 + atlas-037 all extracted cleanly"
10.1086/655668,"Regulatory Focus, Regulatory Fit, and the Search and Consideration of Choice Alternatives",True,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=3916&amp;amp;context=lkcsb_research,True,regulatory-fit,True,LOW,Chicago / OUP — paywalled; atlas-024 + atlas-030 + atlas-037 (originally) returned paywalled
10.1080/10810730.2010.499593,The Use of Gain- or Loss-Frame Messages and Efficacy Appeals to Dissuade Excessive Alcohol Consumption Among College Stu,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10410231003773326,Predictors and the Role of Attitude Toward the Message and Perceived Message Quality in Gain- and Loss-Frame Antidrug Pe,False,,True,loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1145/1520340.1520645,Authority vs. peer,False,,True,authority,False,MEDIUM,ACM — DL behind subscription but arXiv preprints sometimes available; atlas-032 extracted via arXiv preprint
10.1521/soco.2009.27.3.365,Regulatory Fit in Negotiation: Effects of “Prevention-Buyer” and “Promotion-Seller” Fit,False,,True,regulatory-fit,False,UNKNOWN,DOI prefix 10.1521 not in observed-publisher table
10.1111/j.1460-2466.2009.01417.x,The Relative Persuasiveness of Gain-Framed and Loss-Framed Messages for Encouraging Disease Detection Behaviors: A Meta-,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1111/j.1467-9280.2009.02296.x,Bounded Ethicality,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1016/j.jesp.2009.04.002,Message framing and color priming: How subtle threat cues affect persuasion,False,,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1080/08870440902893708,Moving beyond the function of the health behaviour: The effect of message frame on behavioural decision-making,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1093/her/cyp061,Investigating message-framing effects in the context of a tailored intervention promoting physical activity,True,https://academic.oup.com/her/article-pdf/25/2/343/1945867/cyp061.pdf,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1093 not in observed-publisher table
10.1002/ejsp.722,Distinct pathways to persuasion: The role of affect in message‐framing effects,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ejsp.722,True,gain-framing;loss-framing,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1509/jmkr.46.3.384,"Fear and Loving in Las Vegas: Evolution, Emotion, and Persuasion",True,https://www.ncbi.nlm.nih.gov/pmc/articles/2735890,True,social-proof,True,HIGH,"PubMed Central — clean HTML + JATS XML, atlas-014 + atlas-015 + atlas-036 + atlas-037 all extracted cleanly"
10.1086/521902,Be Fit and Be Strong: Mastering Self-Regulation through Regulatory Fit,False,,True,regulatory-fit,False,LOW,Chicago / OUP — paywalled; atlas-024 + atlas-030 + atlas-037 (originally) returned paywalled
10.1080/15534510802254087,Is it a game? Evidence for social influence in the virtual world,False,,True,ditf;fitd,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/15534510802204868,Ostracism increases social susceptibility,False,,True,ditf;fitd,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.2466/pr0.103.2.529-534,Foot-in-the-Door Technique Using a Courtship Request: A Field Experiment,False,,True,fitd,False,UNKNOWN,DOI prefix 10.2466 not in observed-publisher table
10.1348/135910707x246186,Promoting participation in physical activity using framed messages: An application of prospect theory,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1348 not in observed-publisher table
10.1016/j.jesp.2008.12.005,"The cultural congruency effect: Culture, regulatory focus, and the effectiveness of gain- vs. loss-framed health message",True,https://kar.kent.ac.uk/32386/1/uskul_sherman_fitzgibbon_JESP_inpress.pdf,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
10.1080/10410230801967825,Adolescents' Perceptions of Canadian Cigarette Package Warning Labels: Investigating the Effects of Message Framing,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1002/ejsp.496,The influence of self‐efficacy on the effects of framed health messages,False,,True,gain-framing;loss-framing,False,LOW,Wiley — is_oa=true frequently masks publisher-side paywall; atlas-034 + atlas-038 + atlas-035 (HBE) all returned abstract-only or 402/403
10.1080/14622200701767803,Message framing for smoking cessation: The interaction of risk perceptions and gender,True,https://www.ncbi.nlm.nih.gov/pmc/articles/2527723,True,gain-framing;loss-framing,False,HIGH,"PubMed Central — clean HTML + JATS XML, atlas-014 + atlas-015 + atlas-036 + atlas-037 all extracted cleanly"
10.1111/j.1460-2466.2008.00393.x,Effects of Gain Versus Loss Frame Antidrug Ads on Adolescents,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1086/518541,The Role of the Need for Cognitive Closure in the Effectiveness of the Disrupt-Then-Reframe Influence Technique: Table 1,False,,True,disrupt-then-reframe,False,LOW,Chicago / OUP — paywalled; atlas-024 + atlas-030 + atlas-037 (originally) returned paywalled
10.1111/j.1751-9004.2007.00018.x,How Can People Be Induced to Willingly Change Their Behavior? The Path from Persuasive Communication to Binding Communic,True,https://ube.hal.science/hal-00585299,True,fitd;lowball,True,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1080/10810730701615198,The Relative Persuasiveness of Gain-Framed Loss-Framed Messages for Encouraging Disease Prevention Behaviors: A Meta-Ana,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/10810730701619695,The Effectiveness of Gain-Framed Messages for Encouraging Disease Prevention Behavior: Is All Hope Lost?,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1080/03637750701397098,The Persuasive Effects of Message Framing in Organ Donation: The Mediating Role of Psychological Reactance,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1037/0278-6133.26.6.745,Using message framing to promote acceptance of the human papillomavirus vaccine.,False,,True,gain-framing;loss-framing,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1037/0893-164x.21.4.534,Comparing gain- and loss-framed messages for smoking cessation with sustained-release bupropion: A randomized controlled,True,https://www.ncbi.nlm.nih.gov/pmc/articles/2527727,True,gain-framing;loss-framing,True,HIGH,"PubMed Central — clean HTML + JATS XML, atlas-014 + atlas-015 + atlas-036 + atlas-037 all extracted cleanly"
10.1080/13548500701235732,The role of message framing in promoting MMR vaccination: Evidence of a loss-frame advantage,False,,True,gain-framing;loss-framing,False,LOW,Taylor & Francis — frequently paywalled despite is_oa=true; atlas-022 + atlas-038 returned abstract-only
10.1111/j.1460-2466.2006.00290.x,The Strategic Use of Gain- and Loss-Framed Messages to Promote Healthy Behavior: How Theory Can Inform Practice,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1111 not in observed-publisher table
10.1016/j.jesp.2006.06.002,Implementation intentions and the willful pursuit of prosocial goals in negotiations,True,https://www.sciencedirect.com/science/article/pii/S0022103106000941,True,gain-framing;loss-framing,False,LOW,Elsevier / ScienceDirect — is_oa=true frequently masks paywall; atlas-021 + atlas-039 + atlas-043 + atlas-041 all returned abstract-only or paywalled
,A general framework for modifying health-relevant behavior: reducing undergraduate binge drinking by appealing to commit,False,,False,,False,UNKNOWN,DOI prefix  not in observed-publisher table
10.1037/0278-6133.24.3.321,Why Are You Bringing Up Condoms Now? The Effect of Message Content on Framing Effects of Condom Use Messages.,False,,True,gain-framing;loss-framing,False,MEDIUM,"APA — institutional repos + PMC mirrors; 2/3 PMC extractions clean, 1 eScholarship maintenance hit; abstract-only common on institutional repos"
10.1207/s15327663jcp1403_9,"“If You Can't Dazzle Them with Brilliance, Baffle Them with Nonsense”: Extending the Impact of the Disrupt‐Then‐Reframe ",False,,True,disrupt-then-reframe,False,UNKNOWN,DOI prefix 10.1207 not in observed-publisher table
10.2466/pr0.94.3.767-770,Cultural Differences in Altruistic Behavior: Quasi Replication of Uranowitz's “Foot-in-the-Door with Implicit Demand”,False,,True,fitd,False,UNKNOWN,DOI prefix 10.2466 not in observed-publisher table
10.1177/1359105305048556,Message Framing and Pap Test Utilization among Women Attending a Community Health Clinic,False,,True,gain-framing;loss-framing,False,UNKNOWN,DOI prefix 10.1177 not in observed-publisher table
